player,Name,Type,,,,,,,,,
NPC,非雨,过载,,,,,,,,,
NPC,月雾,精技,,,,,,,,,
NPC,蜂刺,暗算,,,,,,,,,
NPC,蝣人,忍耐,,,,,,,,,
NPC,塔芙迪,摸鱼,,,,,,,,,
NPC,阿尼莫,善舞,,,,,,,,,
NPC,白屋,隐世,,,,,,,,,
NPC,影炬,叛乱,,,,,,,,,
,,,,,,,,,,,
BlackBeginWords,,,,,,3.5s-4s,,,,,
哦，女士，你要带我去哪里？     ,M,看仪表盘,,,叉腰站姿,1.5,,,,,
捆绑Play属于风俗店，不属于公司电梯间,M,看鳗鱼,鳗鱼动画,,,5,,,,,
难道说你要带我去一个迷情的粉色世界？,M,粉色画面+音效,,,,9,,,,,
我拒绝，酒和女人都要是82年的才好,M,从下往上看黑衣人,,,,13,,,,,
看来只是单纯的绑架......话说，你们上班可以带宠物吗？,M,,,,掏刀*2,17,,,,,
要是在我之前的公司里......,M,电梯开门,,,,22,,,,,
只能养几条你的舔狗，对吗,B,响指，灯亮起,,,,25,,,,,
但你的时代过去了，我接管了这地儿,B,右往左，看到所有的人,,,大幅展示,28,,,,,
现在这个公司，可以随便养各种动物，没错,B,,,,,31,,,,,
呦，二师兄，你好呀,M,看三石,,,,35,,,,,
什么二师兄，是三石兄！,A0,,,,,38,,,,,
坐下，这里就是你的兽圈,B,黑衣人坐下，主角坐下,,,手往下指,41,,,,,
这是被包养了吗,M,,,,,44,,,,,
在这里，我的话就是唯一法度,B,,,,,46,,,,,
吸血鬼们，既然无法被杀死,B,,,,傲慢抬头，停留后，复位,49,,,,,
那就受尽折磨吧,B,,,,抓手,52,,,,,
你的狱友，二师兄三石，养猪型吸血鬼,B,,,,小幅展示*2,55,,,,,
血围巾企鹅，你曾经的投资人，克隆型吸血鬼,B,,,,,59,,,,,
狗头强，脸盲型吸血鬼，他这几把玩得不太行,B,,,,,63,,,,,
哦，几把不太行,M,,,,,67,,,,,
还有马男杰克，福报型吸血鬼,B,,,,,69,,,,,
听到他的名字我怎么想到了一个三位数，让我想想,M,,,,,72,,,,,
啊没错，就是996，肝疼欲裂，充满怀恋！,M,,,,,76,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Class,Owner,Condis,,,,,,,,,
,,,,,,,,,,,
Plot,非雨,加班一次,Period|日常0,,,,,,,,
,Aside_Start,,,,,,深夜，仅剩你和美术组的非雨还在继续加班,,,,
,Words1,,,,,,是新人弟弟吗，哈哈哈，加班辛苦啦。,阿尼莫总是会让新人加班，一如既往,,,
,Choose,,,,,,好奇怪的装置,,,,
,,pro,1,1_1,招魂仪,word2,熬夜猝死时碰到这个装置，就可以触发法阵，召唤笔仙复活呢,开玩笑的啦，怎么可能呢，你喜欢就送你了,,,
,Choose,,,,,,碰到这样的领导算我倒霉,,,,
,,pro,0.5,1_2_1,card|2|1,word2,就当他是为了我们的未来着想吧,,,,
,,pro,0.5,1_2_2,None,word2,职场中说领导坏话可不是好事,以后可不能这样了，知道吗？,,,
,Aside_End,,,,,,加班好累，但不是一个人，真好......,,,,
,ID,1,,,,,,,,,
Plot,非雨,认识,Period|日常0,Probability|0.3,,,,,,,
,Aside_Start,,,,,,被阿尼莫叫到公司加班，看到一个熟悉的身影......,,,,
,Words1,,,,,,咿呀......吓我一条，原来是你呀,这个......是用来提神的......没错......就是这样！,,,
,Choose,,,,,,加班好辛苦呀,,,,
,,pro,1,2_1,card|7|1,word2,是的呀，尤其是一个人加班......,如果有空，不如来陪陪我？倒不必勉强......,,,
,Choose,,,,,,提神，给我也整一个！,,,,
,,pro,0.5,2_2_1,None,word2,你是在取笑我吗？,不过，提高一下颅顶线，也能显得更加成熟吧......,,,
,,pro,0.5,2_2_2,提神发夹,word2,啊......我这里还有多的，但是......,算了，你拿去吧......嘻嘻。,,,
,Aside_End,,,,,,没想到她有这样的一面呢,,,,
,ID,2,,,,,,,,,
Plot,非雨,认识,Period|空白前,Probability|0.3,,,,,,,
,Aside_Start,,,,,,日常加班，非雨今天貌似在筛选新人简历,,,,
,Words1,,,,,,哦......某些培训机构出来的学生,作品实在......不堪入目,你看看这女巫面部的光,,
,Choose,,,,,,丑得起飞了,,,,
,,pro,1,3_1,card|11|2,word2,是吧，公司不需要无能之辈,,,,
,Choose,,,,,,丑是丑，但我喜欢女巫,,,,
,,pro,0.7,3_2_1,None,word2,不能因为喜欢题材,就无视水平呀,,,
,,pro,0.3,3_2_2,card|47|1,word2,喜欢女巫吗......,是因为女巫会魔法吗？还是说......,,,
,Aside_End,,,,,,她对待新同事的要求，真是严苛,,,,
,ID,3,,,,,,,,,
Plot,非雨,认识,Period|日常1,Probability|0.3,,,,,,,
,Aside_Start,,,,,,竟然趴在桌子上睡着了，一醒来，发现非雨正在用刀划自己的手臂,,,,
,Words1,,,,,,你......怎么还在？,我为什么穿成这样?,啊，这是......之后漫展的cosplay！,,
,Choose,,,,,,好漂亮的红色，和蔷薇好配呀,,,,
,,pro,1,4_1,血色蔷薇,word2,嘻嘻，好看吗，还没人这么夸过我,虽然也没有在别人面前穿过这一套,花儿送你了……这是你嘴甜的奖励！,,
,Choose,,,,,,这像是，禁忌仪式所用的服装？,,,,
,,pro,0.5,4_2_1,None,word2,听着，今天看到的，可不能和别人说,总有人通过消耗自己，来换得赚取绩效的可能，对吗？,我也是迫不得已,,
,,pro,0.5,4_2_2,禁忌书,word2,既然被发现了，我也不想瞒着你,自从我发现这本禁书之后，就开始了修习,我与书中所描述的神灵，更像是一种交易关系……,,
,Aside_End,,,,,,猩红的暗光下，我见识到了不一样的她,,,,
,ID,4,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Plot,月雾,高职位,Period|日常2,,,,,,,,
,Aside_Start,,,,,,在进入技术组后，终于见到了“论坛偶像”月雾,,,,
,Words1,,,,,,你提的操作问题？,接口，自己插上......,还有，别碰我,洁癖而已，不针对你,
,Choose,,,,,,大佬，不至于吧,,,,
,,pro,1,11_1,高手的鼠标,word2,至于！,搞定了......鼠标不要了,,,
,Choose,,,,,,我是您的粉丝，能要个签名吗,,,,
,,pro,0.5,11_2_1,card|13|1,word2,少整那些没用东西......,我写文，可不为这个,,,
,,pro,0.5,11_2_2,None,word2,你关注我？,我的粉丝......,这种小事都不能自己解决？,,
,Aside_End,,,,,,相较于论坛上乐于助人的月雾，眼前的他，像是另一个人,,,,
,ID,11,,,,,,,,,
Plot,月雾,认识,Period|日常2,Probability|0.3,,,,,,,
,Aside_Start,,,,,,3A项目立了，月雾这几天高兴得有点反常,,,,
,Words1,,,,,,是你？,现在没空......等下来找我,,,
,Choose,,,,,,这是公司的桌子，怎么可以破坏？,,,,
,,pro,1,12_1,card|10003|2,word2,雨田军都不管,轮得到你吗？,,,
,Choose,,,,,,这是有特殊意义的画吗？,,,,
,,pro,1,12_2,绘阶刀,word2,这种喜悦，你无法想象......,我等这一天太久了,加入这小工作室,正是因为老板答应我立这个项目,话多了......失态了
,Aside_End,,,,,,他心情好的时候，还是那么古怪,,,,
,ID,12,,,,,,,,,
